# This is the default dungeon data file.

# --------------------------------------------------------------------------
# These are the user-defined door types.  Note that there are a few "special"
# values that are predefined:
#
#    - TRAPPED - indicates there is a trap of some sort on the door
#    - REROLL1 - add the indicated value and reroll ONCE on the same table
# --------------------------------------------------------------------------

[doortypes]
WOODEN         wooden
STONE          stone
IRON           iron
SIMPLE         simple
GOOD           good
STRONG         strong
FREE           free
STUCK          stuck
LOCKED         locked
SIDESLIDE      side-sliding
DOWNSLIDE      down-sliding
UPSLIDE        up-sliding
MAGIC          magically-reinforced
ROTATINGWALL   rotating wall
PASSWALL       Passwall (as the spell)
PUSHBRICK      push brick to open
MAGICWORD      magic word to open
GESTURE        gesture to open
PRESSUREPLATE  pressure-plate to open
ILLUSORYWALL   illusory wall
BEHINDTAPESTRY behind tapestry
BEHINDRUBBISH  behind rubbish pile
FALSEWALL      false wall

[doors]
008 WOODEN,SIMPLE,FREE
009 WOODEN,SIMPLE,FREE,TRAPPED
023 WOODEN,SIMPLE,STUCK
024 WOODEN,SIMPLE,STUCK,TRAPPED
029 WOODEN,SIMPLE,LOCKED
030 WOODEN,SIMPLE,LOCKED,TRAPPED
035 WOODEN,GOOD,FREE
036 WOODEN,GOOD,FREE,TRAPPED
044 WOODEN,GOOD,STUCK
045 WOODEN,GOOD,STUCK,TRAPPED
049 WOODEN,GOOD,LOCKED
050 WOODEN,GOOD,LOCKED,TRAPPED
055 WOODEN,STRONG,FREE
056 WOODEN,STRONG,FREE,TRAPPED
064 WOODEN,STRONG,STUCK
065 WOODEN,STRONG,STUCK,TRAPPED
069 WOODEN,STRONG,LOCKED
070 WOODEN,STRONG,LOCKED,TRAPPED
071 STONE,FREE
072 STONE,FREE,TRAPPED
075 STONE,STUCK
076 STONE,STUCK,TRAPPED
079 STONE,LOCKED
080 STONE,LOCKED,TRAPPED
081 IRON,FREE
082 IRON,FREE,TRAPPED
085 IRON,STUCK
089 IRON,LOCKED
090 IRON,LOCKED,TRAPPED
093 SIDESLIDE,REROLL1
096 DOWNSLIDE,REROLL1
099 UPSLIDE,REROLL1
100 MAGIC,REROLL1
000

[secretdoors]
010 ROTATINGWALL,PUSHBRICK,FREE
011 ROTATINGWALL,PUSHBRICK,FREE,TRAPPED
015 ROTATINGWALL,MAGICWORD,FREE
016 ROTATINGWALL,MAGICWORD,FREE,TRAPPED
020 ROTATINGWALL,GESTURE,FREE
021 ROTATINGWALL,GESTURE,FREE,TRAPPED
030 ROTATINGWALL,PRESSUREPLATE,FREE
031 ROTATINGWALL,PRESSUREPLATE,FREE,TRAPPED
035 ROTATINGWALL,PUSHBRICK,STUCK
036 ROTATINGWALL,PUSHBRICK,STUCK,TRAPPED
038 ROTATINGWALL,MAGICWORD,STUCK
039 ROTATINGWALL,MAGICWORD,STUCK,TRAPPED
041 ROTATINGWALL,GESTURE,STUCK
042 ROTATINGWALL,GESTURE,STUCK,TRAPPED
046 ROTATINGWALL,PRESSUREPLATE,STUCK
047 ROTATINGWALL,PRESSUREPLATE,STUCK,TRAPPED
048 PASSWALL,PUSHBRICK
049 PASSWALL,PUSHBRICK,TRAPPED
050 PASSWALL,MAGICWORD
051 PASSWALL,GESTURE
052 PASSWALL,GESTURE,TRAPPED
053 PASSWALL,PRESSUREPLATE
054 PASSWALL,PRESSUREPLATE,TRAPPED
064 SIDESLIDE,PUSHBRICK,FREE
065 SIDESLIDE,PUSHBRICK,FREE,TRAPPED
069 SIDESLIDE,MAGICWORD,FREE
070 SIDESLIDE,MAGICWORD,FREE,TRAPPED
074 SIDESLIDE,GESTURE,FREE
075 SIDESLIDE,GESTURE,FREE,TRAPPED
084 SIDESLIDE,PRESSUREPLATE,FREE
085 SIDESLIDE,PRESSUREPLATE,FREE,TRAPPED
089 SIDESLIDE,PUSHBRICK,STUCK
090 SIDESLIDE,PUSHBRICK,STUCK,TRAPPED
092 SIDESLIDE,MAGICWORD,STUCK
093 SIDESLIDE,MAGICWORD,STUCK,TRAPPED
094 SIDESLIDE,GESTURE,STUCK
095 SIDESLIDE,GESTURE,STUCK,TRAPPED
099 SIDESLIDE,PRESSUREPLATE,STUCK
100 SIDESLIDE,PRESSUREPLATE,STUCK,TRAPPED
000

[concealeddoors]
ILLUSORYWALL
ILLUSORYWALL,TRAPPED
WOODEN,SIMPLE,FREE,BEHINDTAPESTRY
WOODEN,SIMPLE,FREE,TRAPPED,BEHINDTAPESTRY
WOODEN,SIMPLE,STUCK,BEHINDTAPESTRY
WOODEN,SIMPLE,STUCK,TRAPPED,BEHINDTAPESTRY
WOODEN,SIMPLE,LOCKED,BEHINDTAPESTRY
WOODEN,SIMPLE,LOCKED,TRAPPED,BEHINDTAPESTRY
WOODEN,GOOD,FREE,BEHINDTAPESTRY
WOODEN,GOOD,FREE,TRAPPED,BEHINDTAPESTRY
WOODEN,GOOD,STUCK,BEHINDTAPESTRY
WOODEN,GOOD,STUCK,TRAPPED,BEHINDTAPESTRY
WOODEN,GOOD,LOCKED,BEHINDTAPESTRY
WOODEN,GOOD,LOCKED,TRAPPED,BEHINDTAPESTRY
WOODEN,STRONG,FREE,BEHINDTAPESTRY
WOODEN,STRONG,FREE,TRAPPED,BEHINDTAPESTRY
WOODEN,STRONG,STUCK,BEHINDTAPESTRY
WOODEN,STRONG,STUCK,TRAPPED,BEHINDTAPESTRY
WOODEN,STRONG,LOCKED,BEHINDTAPESTRY
WOODEN,STRONG,LOCKED,TRAPPED,BEHINDTAPESTRY
STONE,FREE,BEHINDTAPESTRY
STONE,FREE,TRAPPED,BEHINDTAPESTRY
STONE,STUCK,BEHINDTAPESTRY
